ID;category_id;parent_product_id;supplier_id;Product Name;product_code;Description;Selling Price;Supplier Price;Gross Profit;Is Product Active;Size;Qty;Next Price Update Date;Image URL;;;;
29;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 225mm";MF-5-29;"90&deg; ELBOW - PE100 MOULDED SDR11 225mm";1141,956;1141,956;25;1;225mm;1;2022/01/10;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
30;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 250mm";MF-5-30;"90&deg; ELBOW - PE100 MOULDED SDR11 250mm";1216,458;1216,458;25;1;250mm;1;2022/01/11;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
31;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 280mm";MF-5-31;"90&deg; ELBOW - PE100 MOULDED SDR11 280mm";1878,75;1878,75;25;1;280mm;1;2022/01/12;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
32;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 315mm";MF-5-32;"90&deg; ELBOW - PE100 MOULDED SDR11 315mm";2423,34;2423,34;25;1;315mm;1;2022/01/13;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
33;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 355mm";MF-5-33;"90&deg; ELBOW - PE100 MOULDED SDR11 355mm";4550,958;4550,958;25;1;355mm;1;2022/01/14;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
34;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 400mm";MF-5-34;"90&deg; ELBOW - PE100 MOULDED SDR11 400mm";5573,808;5573,808;25;1;400mm;1;2022/01/15;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
35;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 450mm";MF-5-35;"90&deg; ELBOW - PE100 MOULDED SDR11 450mm";8956,008;8956,008;25;1;450mm;1;2022/01/16;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
36;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 500mm";MF-5-36;"90&deg; ELBOW - PE100 MOULDED SDR11 500mm";11754,738;11754,738;25;1;500mm;1;2022/01/17;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
37;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 560mm";MF-5-37;"90&deg; ELBOW - PE100 MOULDED SDR11 560mm";14926,662;14926,662;25;1;560mm;1;2022/01/18;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
38;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 630mm";MF-5-38;"90&deg; ELBOW - PE100 MOULDED SDR11 630mm";21905,706;21905,706;25;1;630mm;1;2022/01/19;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
