pn_id,daimeter_id,od_min,od_mx,ovality_max,COIL,wt_min,wt_ave,wt_ax,pipe_id,prod_value
2,800,800,807.2,0,14400,24.5,25.73,26.95,748.55,59.76
2,900,900,908.1,0,16200,27.6,28.98,30.36,842.04,75.73
2,1000,1000,1009,0,18000,30.6,32.13,33.66,935.74,93.30
3,32,32,32.3,1.3,576,1.6,1.68,1.76,28.64,0.15
3,40,40,40.4,1.4,720,1.6,1.68,1.76,36.64,0.19
3,50,50,50.4,1.4,900,2,2.1,2.2,45.8,0.30
3,63,63,63.4,1.5,1134,2.5,2.63,2.75,57.75,0.48
3,75,75,75.5,1.6,1350,2.9,3.05,3.19,68.91,0.66
3,90,90,90.6,1.8,1620,3.5,3.68,3.85,82.65,0.95
3,110,110,110.7,2.2,1980,4.2,4.41,4.62,101.18,1.40
3,125,125,125.8,2.5,2250,4.8,5.04,5.28,114.92,1.81
3,140,140,140.9,2.8,2520,5.4,5.67,5.94,128.66,2.29
3,160,160,161,3.2,2880,6.2,6.51,6.82,146.98,3.00
3,180,180,181.1,3.6,3240,6.9,7.25,7.59,165.51,3.76
3,200,200,201.2,4,3600,7.7,8.09,8.47,183.83,4.66
3,225,225,226.4,4.5,4050,8.6,9.03,9.46,206.94,5.85
3,250,250,251.5,5,4500,9.6,10.08,10.56,229.84,7.26
3,280,280,281.7,9.8,5040,10.7,11.24,11.77,257.53,9.06
3,315,315,316.9,11.1,5670,12.1,12.71,13.31,289.59,11.52
3,355,355,357.2,12.5,6390,13.6,14.28,14.96,326.44,14.60
3,400,400,402.4,14,7200,15.3,16.07,16.83,367.87,18.51
3,450,450,452.7,15.6,8100,17.2,18.06,18.92,413.88,23.40
3,500,500,503,17.5,9000,19.1,20.06,21.01,459.89,28.88
3,560,560,563.4,19.6,10080,21.4,22.47,23.54,515.06,36.24
3,630,630,633.8,22.1,11340,24.1,25.31,26.51,579.39,45.91
3,710,710,716.4,0,12780,27.2,28.56,29.92,652.88,58.39
3,800,800,807.2,0,14400,30.6,32.13,33.66,735.74,74.02
3,900,900,908.1,0,16200,34.4,36.12,37.84,827.76,93.62
3,1000,1000,1009,0,18000,38.2,40.11,42.02,919.78,115.51
4,32,32,32.3,1.3,576,1.7,1.79,1.87,28.43,0.16
4,40,40,40.4,1.4,720,2,2.1,2.2,35.8,0.24
4,50,50,50.4,1.4,900,2.4,2.52,2.64,44.96,0.36
4,63,63,63.4,1.5,1134,3,3.15,3.3,56.7,0.57
4,75,75,75.5,1.6,1350,3.6,3.78,3.96,67.44,0.81
4,90,90,90.6,1.8,1620,4.3,4.52,4.73,80.97,1.16
4,110,110,110.7,2.2,1980,5.3,5.57,5.83,98.87,1.74
4,125,125,125.8,2.5,2250,6,6.3,6.6,112.4,2.24
4,140,140,140.9,2.8,2520,6.7,7.04,7.37,125.93,2.81
4,160,160,161,3.2,2880,7.7,8.09,8.47,143.83,3.68
4,180,180,181.1,3.6,3240,8.6,9.03,9.46,161.94,4.63
4,200,200,201.2,4,3600,9.6,10.08,10.56,179.84,5.74
4,225,225,226.4,4.5,4050,10.8,11.34,11.88,202.32,7.27
4,250,250,251.5,5,4500,11.9,12.5,13.09,225.01,8.90
4,280,280,281.7,9.8,5040,13.4,14.07,14.74,251.86,11.23
4,315,315,316.9,11.1,5670,15,15.75,16.5,283.5,14.14
4,355,355,357.2,12.5,6390,16.9,17.75,18.59,319.51,17.96
4,400,400,402.4,14,7200,19.1,20.06,21.01,359.89,22.86
4,450,450,452.7,15.6,8100,21.5,22.58,23.65,404.85,28.95
4,500,500,503,17.5,9000,23.9,25.1,26.29,449.81,35.76
4,560,560,563.4,19.6,10080,26.7,28.04,29.37,503.93,44.74
4,630,630,633.8,22.1,11340,30,31.5,33,567,56.56
4,710,710,716.4,0,12780,33.9,35.6,37.29,638.81,72.02
4,800,800,807.2,0,14400,38.1,40.01,41.91,719.99,91.22
4,900,900,908.1,0,16200,42.9,45.05,47.19,809.91,115.54
