productid,class_name,diameter,quote_weight,backup_quote_weight,New Quote Weight,production_weight,New KL,,Quote vs production,,,,
150,PN16,800,165.53,167.01,167.02,165.53,168.100,,-0.90%,,,,
151,PN16,900,209.56,211.41,211.41,209.56,212.779,,-0.88%,,,,
152,PN16,1000,257.24,259.55,259.55,257.24,261.237,,-0.90%,,,,
153,PN20,16,0.09,0.09,0.1,0.09,0.092,,-1.11%,,,,
154,PN20,20,0.13,0.13,0.14,0.13,0.134,,-2.31%,,,,
155,PN20,25,0.21,0.21,0.22,0.21,0.212,,-0.48%,,,,
156,PN20,32,0.32,0.33,0.33,0.32,0.330,,-2.50%,,,,
157,PN20,40,0.5,0.51,0.52,0.5,0.514,,-2.20%,,,,
158,PN20,50,0.78,0.79,0.8,0.78,0.797,,-1.54%,,,,
159,PN20,63,1.24,1.27,1.27,1.24,1.273,,-2.02%,,,,
160,PN20,75,1.75,1.78,1.78,1.75,1.789,,-1.54%,,,,
161,PN20,90,2.53,2.56,2.57,2.53,2.580,,-1.30%,,,,
162,PN20,110,3.76,3.81,3.81,3.76,3.834,,-1.30%,,,,
163,PN20,125,4.86,4.93,4.93,4.86,4.958,,-1.36%,,,,
164,PN20,140,6.11,6.17,6.18,6.11,6.211,,-1.00%,,,,
165,PN20,160,7.96,8.04,8.04,7.96,8.088,,-0.95%,,,,
166,PN20,180,10.06,10.17,10.17,10.06,10.233,,-1.06%,,,,
167,PN20,200,12.45,12.57,12.58,12.45,12.654,,-0.98%,,,,
168,PN20,225,15.76,15.91,15.92,15.76,16.016,,-0.97%,,,,
169,PN20,250,19.4,19.56,19.56,19.4,19.684,,-0.81%,,,,
170,PN20,280,24.37,24.58,24.59,24.37,24.744,,-0.88%,,,,
171,PN20,315,30.83,31.10,31.1,30.83,31.301,,-0.87%,,,,
172,PN20,355,39.18,39.50,39.5,39.18,39.756,,-0.81%,,,,
173,PN20,400,49.72,50.10,50.11,49.72,50.429,,-0.77%,,,,
174,PN20,450,62.94,63.44,63.44,62.94,63.849,,-0.79%,,,,
175,PN20,500,77.59,78.17,78.17,77.59,78.678,,-0.75%,,,,
176,PN20,560,97.34,98.08,98.08,97.34,98.713,,-0.76%,,,,
177,PN20,630,123.17,124.11,124.11,123.17,124.913,,-0.76%,,,,
178,PN20,710,156.57,158.00,158,156.57,159.027,,-0.91%,,,,
179,PN20,800,198.68,200.47,200.48,198.68,201.775,,-0.90%,,,,
180,PN25,16,0.1,0.10,0.11,0.1,0.104,,-3.00%,,,,
181,PN25,20,0.16,0.16,0.17,0.16,0.164,,-1.88%,,,,
182,PN25,25,0.24,0.24,0.25,0.24,0.244,,-0.83%,,,,
183,PN25,32,0.38,0.39,0.39,0.38,0.391,,-2.11%,,,,
184,PN25,40,0.59,0.61,0.61,0.59,0.609,,-2.54%,,,,
185,PN25,50,0.93,0.94,0.95,0.93,0.949,,-1.40%,,,,
186,PN25,63,1.46,1.48,1.49,1.46,1.492,,-1.51%,,,,
